Request URL,Request type,Requests Count,"Response time MIN, s","Response time AVG, s","Response time MAX, s","Content-length MIN, kb","Content-length AVG, kb","Content-length MAX, kb"
api/search/connection,POST,21,0.115,0.678,1.183,3248,3265,3373
"Search with NumericFacetFilters,SelectedTermFacets,TermFacetFilters"
api/search/awx_property,POST,2,1.0,1.0150000000000001,1.03,11076,12765.5,14455
api/search/awx_listing,POST,5,0.508,0.699,1.893,7808,8687,11944
api/search/awx_availability,POST,2,0.863,1.0805,1.298,16873,16904.5,16936
Simple Search with 
api/search/awx_floor,POST,4,0.795,1.0285,1.2530000000000001,3307,3307.0,3307
api/search/awx_listing,POST,30,0.36,0.83,1.901,15339,21982.0,21982
api/search/connectionroleassociation,POST,3,0.96,1.408,1.8940000000000001,3249,3249,3249
api/search/connectionroleobjecttypecode,POST,4,1.629,1.9015,3.156,3962,3962.0,3962
api/search/account,POST,42,0.649,1.5115,3.7880000000000003,30043,54080.0,54080
api/search/awx_adhoclist,POST,10,0.39,0.944,2.651,4613,5548.0,8866
api/search/awx_property,POST,36,0.228,1.0265,1.919,23897,44208.0,44208
api/search/awx_commission,POST,7,0.15,0.556,1.75,4287,4417,7350
api/search/awx_adhoclistmember,POST,7,0.258,0.793,1.117,7012,12375,20440
api/search/listmember,POST,4,0.165,0.3325,0.905,4403,4403.0,4403
api/search/opportunity,POST,32,0.293,0.8125,2.988,20499,36742.0,36742
api/search/awx_lease,POST,37,0.921,1.536,3.132,27632,54547,54547
api/search/awx_image,POST,7,0.22,0.443,1.272,4253,4463,7396
api/search/awx_leaseperiod,POST,7,0.315,0.669,1.017,4314,4314,7258
api/search/list,POST,12,0.235,0.632,0.913,5033,6428.0,10195
api/search/connection,POST,10,0.444,0.7235,1.851,7358,9180.0,16378
api/search/awx_geography,POST,8,0.223,0.6405000000000001,2.125,2719,2767.0,2816
api/search/connectionrole,POST,7,0.541,0.915,1.6320000000000001,2850,4335,5868
api/search/contact,POST,43,0.527,1.422,3.307,32229,59789,59789
api/search/awx_availability,POST,36,0.202,1.207,2.409,22840,50737.0,50737
api/search/awx_propertysale,POST,20,0.299,0.8685,2.108,11435,18083.0,18083
api/search/transactioncurrency,POST,7,0.343,0.525,2.37,2207,2207,2208
api/search/activityparty,POST,8,0.731,1.064,1.424,6438,8606.0,14632
api/search/annotation,POST,4,0.218,0.332,1.246,3539,3539.0,3539
api/search/systemuser,POST,10,0.332,0.7785,1.565,6455,9711.0,14897
api/search/activitypointer,POST,17,0.419,0.989,1.385,12987,26929,26929
api/search/awx_preference,POST,20,0.232,0.747,1.65,15172,36630.0,36630
"Search with ResultsFormat,Ids,Relations,RelationCounts"
api/search/contact,POST,8,1.238,2.84,9.619,21055,34034.0,220893
api/search/awx_availability,POST,8,1.01,1.857,3.141,15008,19739.0,24994
api/search/awx_listing,POST,10,0.573,3.8005,10.13,9842,25880.5,58962
api/search/opportunity,POST,8,0.856,2.117,5.103,9579,17089.0,54696
api/search/awx_image,POST,2,0.963,1.8685,2.774,2911,2954.0,2997
api/search/account,POST,11,2.569,6.042,14.331,22754,93402,402293
api/search/awx_lease,POST,8,2.172,3.229,5.439,14172,19875.5,26470
api/search/awx_property,POST,20,2.316,7.8885000000000005,18.301,17385,79484.0,185618
api/search/awx_adhoclist,POST,2,0.503,1.6255000000000002,2.748,3614,3706.0,3798
api/search/list,POST,2,1.04,1.924,2.808,4541,4634.0,4727
"Search with NumericFacetFilters,Ids"
api/search/awx_preference,POST,14,0.435,0.905,4.048,8127,9037.0,9313
Search with TermFacetFilters
api/search/awx_listing,POST,42,0.287,0.6595,1.875,8159,11254.0,15417
api/search/account,POST,62,0.318,1.265,3.6029999999999998,12945,24832.5,32479
api/search/awx_adhoclist,POST,10,0.247,0.39649999999999996,2.523,2209,3553.5,4660
api/search/awx_property,POST,58,0.346,0.9495,3.224,10895,18311.0,23975
api/search/awx_commission,POST,4,0.618,0.735,1.1,2029,3181.5,4334
api/search/awx_adhoclistmember,POST,4,0.333,0.5305,0.713,3117,5112.0,7107
api/search/opportunity,POST,47,0.305,0.581,2.826,8286,19231,21388
api/search/awx_lease,POST,50,0.607,1.2630000000000001,3.035,10766,23263.5,28430
api/search/awx_image,POST,4,0.623,0.849,2.519,2027,3163.5,4300
api/search/awx_leaseperiod,POST,6,0.56,0.7585,1.246,2060,3312.5,4326
api/search/list,POST,11,0.408,0.717,0.959,2367,3882,5080
api/search/connection,POST,11,0.25,0.417,0.946,2269,3788,7375
api/search/awx_geography,POST,7,0.123,0.422,0.905,2187,2535,2862
api/search/connectionrole,POST,4,0.13,0.6034999999999999,0.719,2027,2462.0,2897
api/search/contact,POST,65,0.78,1.24,3.9210000000000003,13385,25913,34251
api/search/awx_availability,POST,52,0.16,0.934,3.124,10457,20165.5,22918
api/search/awx_propertysale,POST,21,0.256,0.917,1.427,5111,7961,11513
api/search/transactioncurrency,POST,4,0.43,0.6755,2.543,2025,2139.5,2254
api/search/activityparty,POST,9,0.488,0.753,1.556,2494,5265,6370
api/search/systemuser,POST,9,0.232,0.461,1.74,3227,4855,6514
api/search/activitypointer,POST,23,0.42,0.815,2.325,2886,7430,13029
api/search/awx_preference,POST,17,0.442,0.72,1.857,6665,12116,16162
"Search with SelectedTermFacets,GeoDistanceFacetFilters,SelectedGeoFacets"
api/search/account,POST,2,0.667,0.8025,0.938,77,77.0,77
"Search with SelectedTermFacets,SelectedNumericFacets,SelectedGeoFacets,TermFacetFilters"
api/search/awx_propertysale,POST,1,1.032,1.032,1.032,7853,7853,7853
"Search with NumericFacetFilters,SelectedTermFacets,SelectedNumericFacets,TermFacetFilters"
api/search/awx_availability,POST,1,0.923,0.923,0.923,12821,12821,12821
"Search with SelectedTermFacets,SelectedNumericFacets,TermFacetFilters"
api/search/awx_propertysale,POST,2,0.976,1.4215,1.867,8291,8320.0,8349
api/search/contact,POST,6,0.551,1.401,1.705,13053,16677.5,17088
api/search/awx_availability,POST,2,0.879,1.124,1.369,12422,12647.5,12873
Search with OrderBy
api/search/contact,POST,8,0.888,1.154,1.422,27047,28989.5,30046
api/search/awx_availability,POST,10,0.513,0.975,3.501,25356,26212.0,26790
api/search/awx_propertysale,POST,8,0.761,1.611,3.461,14827,14836.5,14940
api/search/awx_listing,POST,8,0.87,0.991,1.099,18334,18357.5,18370
api/search/opportunity,POST,8,0.415,1.055,1.867,16245,20383.5,20789
api/search/systemuser,POST,8,0.394,0.6355,0.959,7471,7531.0,7587
api/search/activitypointer,POST,6,0.772,1.1604999999999999,1.609,10811,11181.0,12894
api/search/awx_lease,POST,10,0.597,1.2695,1.6560000000000001,28892,29178.5,30205
api/search/awx_property,POST,4,0.681,1.6435,3.702,21747,22459.5,22992
api/search/account,POST,6,0.957,1.4745,2.197,24039,26095.5,30958
Search with FieldFilters
api/search/awx_floor,POST,2,0.642,0.829,1.016,5889,5889.0,5889
api/search/awx_listing,POST,28,0.482,0.9884999999999999,1.8679999999999999,8273,11492.5,22244
api/search/connectionroleobjecttypecode,POST,2,1.294,1.7435,2.193,6918,6918.0,6918
api/search/account,POST,50,0.316,1.3054999999999999,3.407,13149,18241.5,56544
api/search/awx_adhoclist,POST,8,0.618,0.8975,1.554,2879,7206.5,9126
api/search/awx_property,POST,34,0.448,1.0434999999999999,2.46,10969,20448.0,44281
api/search/awx_commission,POST,6,0.584,0.9590000000000001,1.142,7609,7610.0,7704
api/search/awx_adhoclistmember,POST,7,0.632,0.901,1.896,3255,20747,20748
api/search/listmember,POST,2,0.456,0.8465,1.237,3813,3813.0,3813
api/search/opportunity,POST,28,0.382,0.9105000000000001,1.411,8402,32850.0,43492
api/search/awx_lease,POST,40,0.811,1.5474999999999999,2.392,10906,44110.5,54811
api/search/awx_image,POST,6,0.559,0.881,1.033,2565,7655.0,7656
api/search/awx_leaseperiod,POST,6,0.632,1.252,1.499,2847,7417.0,7418
api/search/list,POST,10,0.429,0.774,1.145,4615,10453.0,10455
api/search/connection,POST,8,0.483,0.963,1.29,14021,16577.5,16694
api/search/awx_geography,POST,6,0.539,0.69,1.2429999999999999,2672,3075.0,3076
api/search/connectionrole,POST,6,0.663,0.883,1.173,2663,6127.0,6128
api/search/contact,POST,65,0.287,1.225,4.007,15345,19417,59936
api/search/awx_availability,POST,33,0.707,1.404,4.705,10574,23395,51256
api/search/awx_propertysale,POST,16,0.601,1.206,1.9809999999999999,6731,8893.5,17331
api/search/transactioncurrency,POST,6,0.515,0.7775,0.977,2467,2468.0,2552
api/search/activityparty,POST,8,0.847,1.0394999999999999,1.266,14553,14626.0,14868
api/search/annotation,POST,2,0.905,1.2694999999999999,1.634,3435,4750.5,6066
api/search/systemuser,POST,10,0.332,0.6385000000000001,1.2570000000000001,3992,4081.0,15165
api/search/activitypointer,POST,15,0.603,0.982,1.6480000000000001,4101,26193,27262
api/search/awx_preference,POST,12,0.67,0.982,1.43,8278,22277.0,36890
"Search with SelectedDateTimeFacets,DateTimeFacetFilters,TermFacetFilters"
api/search/awx_lease,POST,2,0.513,1.033,1.553,10904,10944.0,10984
"Search with NumericFacetFilters,SelectedTermFacets,SelectedNumericFacets"
api/search/awx_property,POST,1,1.516,1.516,1.516,9926,9926,9926
api/search/awx_listing,POST,4,0.659,1.1055000000000001,1.506,7326,8748.0,9731
"Search with SelectedTermFacets,TermFacetFilters"
api/search/awx_geography,POST,2,0.723,0.846,0.969,2057,2247.0,2437
api/search/awx_preference,POST,9,0.351,0.776,1.31,8578,11347,12206
